# Timestep Metrics Log
# Format: step | avg_loss | avg_1-cos_sim
#======================================================================
Step 88800: loss=0.162488, 1-cos=0.065508
Step 89000: loss=0.177625, 1-cos=0.073553
Step 89200: loss=0.170789, 1-cos=0.069785
Step 89400: loss=0.191040, 1-cos=0.080512
Step 89600: loss=0.182499, 1-cos=0.076803
Step 89800: loss=0.176525, 1-cos=0.073685
Step 90000: loss=0.163863, 1-cos=0.068746
Step 90200: loss=0.149110, 1-cos=0.062142
Step 90400: loss=0.177621, 1-cos=0.076422
Step 90600: loss=0.168775, 1-cos=0.070887
Step 90800: loss=0.175161, 1-cos=0.073807
Step 91000: loss=0.165770, 1-cos=0.068516
Step 91200: loss=0.175690, 1-cos=0.075250
Step 91400: loss=0.193207, 1-cos=0.086514
Step 91600: loss=0.157092, 1-cos=0.066201
Step 91800: loss=0.161641, 1-cos=0.067281
Step 92000: loss=0.192797, 1-cos=0.080489
Step 92200: loss=0.159968, 1-cos=0.067072
Step 92400: loss=0.160350, 1-cos=0.065678
Step 92600: loss=0.162613, 1-cos=0.067558
Step 92800: loss=0.166716, 1-cos=0.069311
Step 93000: loss=0.162593, 1-cos=0.066266
Step 93200: loss=0.190032, 1-cos=0.081313
Step 93400: loss=0.165000, 1-cos=0.066664
Step 93600: loss=0.172316, 1-cos=0.073508
Step 93800: loss=0.179910, 1-cos=0.076474
Step 94000: loss=0.177221, 1-cos=0.074446
Step 94200: loss=0.155631, 1-cos=0.063062
Step 94400: loss=0.158729, 1-cos=0.066377
Step 94600: loss=0.176381, 1-cos=0.074958
Step 94800: loss=0.170291, 1-cos=0.071452
Step 95000: loss=0.175316, 1-cos=0.074353
Step 95200: loss=0.188351, 1-cos=0.077872
Step 95400: loss=0.178386, 1-cos=0.077687
Step 95600: loss=0.169276, 1-cos=0.070223
Step 95800: loss=0.181064, 1-cos=0.073243
Step 96000: loss=0.174193, 1-cos=0.072877
Step 96200: loss=0.172113, 1-cos=0.071350
Step 96400: loss=0.181478, 1-cos=0.075834
Step 96600: loss=0.207560, 1-cos=0.089588
Step 96800: loss=0.168500, 1-cos=0.072340
Step 97000: loss=0.171363, 1-cos=0.072039
Step 97200: loss=0.183332, 1-cos=0.077006
Step 97400: loss=0.153503, 1-cos=0.063384
Step 97600: loss=0.170964, 1-cos=0.070642
Step 97800: loss=0.162064, 1-cos=0.067268
Step 98000: loss=0.160864, 1-cos=0.066282
Step 98200: loss=0.177188, 1-cos=0.076393
Step 98400: loss=0.156016, 1-cos=0.065107
Step 98600: loss=0.215405, 1-cos=0.091455
Step 98800: loss=0.153470, 1-cos=0.063466
Step 99000: loss=0.159313, 1-cos=0.066774
Step 99200: loss=0.178809, 1-cos=0.075769
Step 99400: loss=0.186892, 1-cos=0.079023
Step 99600: loss=0.209313, 1-cos=0.090287
Step 99800: loss=0.183674, 1-cos=0.077102
Step 100000: loss=0.165371, 1-cos=0.069558
Step 100200: loss=0.205852, 1-cos=0.087284
Step 100400: loss=0.172403, 1-cos=0.070340
Step 100600: loss=0.151871, 1-cos=0.064786
Step 100800: loss=0.158283, 1-cos=0.064965
Step 101000: loss=0.171725, 1-cos=0.074653
Step 101200: loss=0.154754, 1-cos=0.065305
Step 101400: loss=0.174382, 1-cos=0.072736
Step 101600: loss=0.174768, 1-cos=0.073896
Step 101800: loss=0.158607, 1-cos=0.067178
Step 102000: loss=0.148165, 1-cos=0.061190
Step 102200: loss=0.178395, 1-cos=0.075916
Step 102400: loss=0.165464, 1-cos=0.069904
Step 102600: loss=0.167961, 1-cos=0.069615
Step 102800: loss=0.166852, 1-cos=0.068447
Step 103000: loss=0.184694, 1-cos=0.078211
Step 103200: loss=0.176375, 1-cos=0.073103
Step 103400: loss=0.176779, 1-cos=0.071950
Step 103600: loss=0.178772, 1-cos=0.073479
Step 103800: loss=0.162574, 1-cos=0.068062
Step 104000: loss=0.171460, 1-cos=0.075263
Step 104200: loss=0.154541, 1-cos=0.063168
Step 104400: loss=0.193486, 1-cos=0.089910
Step 104600: loss=0.172459, 1-cos=0.072842
Step 104800: loss=0.178717, 1-cos=0.074737
Step 105000: loss=0.191904, 1-cos=0.083391
Step 105200: loss=0.194042, 1-cos=0.080319
Step 105400: loss=0.174754, 1-cos=0.072840
Step 105600: loss=0.180178, 1-cos=0.075690
Step 105800: loss=0.173806, 1-cos=0.074187
